 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105	Mean106	Mean107	Mean108	Mean109	Mean110	Mean111	Mean112	Mean113	Mean114	Mean115	Mean116	Mean117	Mean118	Mean119	Mean120	Mean121	Mean122	Mean123	Mean124	Mean125	Mean126	Mean127	Mean128	Mean129	Mean130	Mean131	Mean132	Mean133	Mean134	Mean135	Mean136	Mean137	Mean138	Mean139	Mean140	Mean141	Mean142	Mean143	Mean144	Mean145	Mean146	Mean147	Mean148	Mean149	Mean150	Mean151	Mean152	Mean153	Mean154	Mean155	Mean156	Mean157	Mean158	Mean159	Mean160	Mean161	Mean162	Mean163	Mean164	Mean165	Mean166	Mean167	Mean168	Mean169	Mean170	Mean171	Mean172	Mean173	Mean174	Mean175	Mean176	Mean177	Mean178	Mean179	Mean180	Mean181	Mean182	Mean183	Mean184	Mean185	Mean186	Mean187	Mean188	Mean189	Mean190	Mean191	Mean192
1	172.205	173.212	172.684	174.431	173.667	173.733	169.667	168.226	171.264	169.590	165.729	169.417	167.698	163.170	158.073	170.674	167.938	168.552	170.323	170	167.663	165.566	165.663	161.799	160.938	169.118	168.205	168.858	165.382	165.024	161.344	169.531	162.028	163.972	166.840	170.347	167.069	165.615	161.163	157.337	167.222	165.965	166.333	168.382	167.319	161.806	156.104	162.816	164.955	164.924	168.899	172.556	165.819	165.278	162.101	158.927	163.917	165.753	163.038	165.288	163.222	160.882	155.899	169.240	159.878	161.330	160.292	166.444	163.062	160.222	155.229	153.809	161.677	155.229	157.701	159.024	154.660	151.625	153.247	161.809	156.385	155.944	154.993	158.233	157.622	154.358	150.910	148.649	159.434	158.483	158.069	162.038	157.736	157.233	153.111	158.833	178.278	174.556	177.767	177.896	180.823	178.271	170.535	177.045	178.399	180.764	173.733	172.076	175.045	173.247	168.403	170.135	171.948	171.295	168.135	171.149	175.017	176.465	170.722	164.885	173.649	172.757	168.003	169.392	168.875	174.285	169.667	170.719	172.785	167.955	172.247	175.396	175.736	178.500	166.858	165.424	176.170	173.024	168.906	174.771	175.549	171.399	166.781	165.007	166.562	166.007	167.806	169.799	170.833	170.774	165.490	166.590	168.538	168.903	165.729	162.059	166.215	165.958	162.306	164.844	164.028	163.830	162.458	163.458	168.868	168.247	161.743	158.062	163.958	165.021	162.347	158.580	161.552	162.038	160.559	163.528	155.799	157.951	157.361	158	161.257	157.438	155.802	156.135	157.462	157.344	159.823	160.403	162.059	162.906	158.382	164.899
2	171.576	171.965	172.865	172.653	175.726	173.799	169.951	166.486	172.844	169.017	166.253	167.986	164.385	162.316	160.045	169.899	168.042	168.670	170.549	170.413	170.215	167.361	166.285	163.521	164.337	169.153	167.444	170.135	166.049	165.757	161.104	171.538	162.674	162.694	167.882	169.229	166.993	165.042	162.684	159.448	168.743	164.767	164.569	167.469	166.500	162.531	158.538	164.622	165.354	168.066	167.667	171.469	165.906	166.785	162.156	158.118	164.760	167.865	167.076	167.149	167.385	162.684	157.118	168.583	162.194	159.497	158.528	166.476	163.052	164.632	155.677	153.236	160.750	158.076	157.458	159.767	155.684	154.413	152.031	161.646	156.924	154.875	158.424	159.618	159.118	155.358	150.913	148.833	158.528	159.486	158.542	159.410	159.611	157.986	152.333	159.434	178.042	173.976	181.431	176.403	181.493	181.479	171.201	174.031	177.927	178.740	172.562	172.514	174.295	174.194	169.677	168.906	171.111	171.306	168.997	166.611	173.896	175.267	169.434	165.722	174.604	173.632	169.868	168.670	168.608	174.677	169.017	173.312	174.951	171.333	171.951	175.354	175.028	178.830	169.118	167.312	172.757	174.083	172.837	172.625	173.812	172.674	168.434	165.149	166.073	167.337	167.323	170.028	169.639	171.764	163.726	167.097	168.535	170.403	166.406	161.587	166.458	166.021	162.674	167.090	165.184	162.295	161.913	165.090	169.649	170.865	164.972	157.917	165.705	163.594	162.361	160.875	161.688	161.587	160.240	162.611	158.368	159.382	158.403	156.517	162.080	159.677	153.990	156.549	158.809	159.351	163.410	159.642	162.028	164.194	158.844	164.549
3	171.927	172.257	174.434	176.865	174.493	174.955	167.760	164.139	170.601	168.743	165.917	165.837	163.760	161.701	158.736	171.368	165.347	169.726	167.889	171.861	166.198	163.677	165.240	161.021	162.094	166.767	167.524	169.177	167.215	166.677	161.653	170.010	163.274	164.125	163.135	167.910	166.958	164.809	161.552	159.066	168.486	164.299	165.417	168.903	167.750	159.771	157.882	162.552	167.253	166.656	170.188	171.778	166.604	165.441	160.809	158.500	165.163	165.854	165.108	167.917	163.490	160.319	157.823	168.597	161.819	157.743	157.674	164.250	161.771	159.212	155.062	150.125	160.983	157.753	156.899	157.962	153.983	152.094	152.865	162.174	159.132	156.705	155.378	160.274	158.323	156.274	152.319	151.938	158.569	158.656	155.660	161.552	159.455	157.646	151.778	156.472	178.753	174.774	180.788	176.844	181.701	182.080	170.545	175.750	177.688	177.715	170.913	169.611	173.764	171.983	168.260	167.552	170.448	168.184	168.927	167.017	175.767	174.892	167.663	165.222	175.253	172.549	167.753	169.122	170.535	173.552	170.264	170.535	170.920	172.295	170.851	172.986	172.944	177.976	167.674	166.910	175.323	172.076	170.358	169.969	172.663	169.858	168.042	170.872	167.101	165.201	165.316	169.184	172.382	171.295	163.590	167.007	169.976	171.201	165.076	161.021	165.222	165.469	162.399	167.885	162.934	164.382	162.837	162.351	165.590	168.090	161.719	157.799	164.274	163.785	159.812	159.552	160.604	163.302	159.951	165.896	158.865	159.924	158.201	156.292	160.434	162.351	154.795	156.597	158.358	161.319	159.247	160.410	162.382	164.389	158.354	163.431
4	170.951	170.809	173.931	172.184	172.733	174.812	167.878	166.434	171.007	167.392	165.615	165.427	164.358	162.927	158.014	171.142	167.118	166.906	167.941	171.413	167.826	167.385	163.549	162.931	167.979	168.757	168.062	169.184	166.101	166.059	162.115	169.042	163.257	163.802	164.118	169.347	165.569	164.663	160.812	159.153	166.615	164.601	164.812	165.156	165.840	160.306	156.788	163.330	165.458	166.625	166.635	171.451	168.993	164.399	160.691	154.833	165.267	166.833	165.125	164.767	164.236	162.965	158.201	168.392	161.351	157.708	158.312	163.476	162.903	159.174	153.372	153.260	160.292	160	155.931	158.618	155.024	149.785	150.892	164.521	156.767	155.587	154.885	158.472	155.458	155.517	151.361	149.403	157.622	158.417	159.354	162.344	161.260	157.667	152.962	156.115	178.531	175.573	176.160	176.694	183.309	181	170.170	173.993	178.274	177.351	169.410	169.080	172.090	171.354	168.333	168.760	168.785	169.785	169.618	166.170	173.236	174.024	166.472	164.483	175.056	172.868	168.747	165.774	165.174	173.674	168.851	169.549	171.378	169.854	170.542	172.941	171.229	177.330	169.250	166.365	176.882	173.333	170.934	170.944	174.191	169.542	165.688	170.472	167.500	167.774	165.288	169.104	169.861	170.097	164.163	165.941	169.142	167.819	163.913	160.944	163.427	163.253	162.365	166.264	162.351	163.094	164.146	162.594	166.257	168.590	161.510	157.326	167.253	163	161.108	158.403	159.653	160.288	159.753	161.642	158.559	159.385	157.698	157.080	162.184	158.781	152.823	154.760	156.153	161.531	159.149	158.691	160.694	162.997	159.944	163.632
5	170.358	171.559	168.385	170.517	172.312	171.663	167.524	166.802	170.781	168.528	165.913	164.017	163.062	159.601	156.608	165.535	166.708	168.285	167.965	169.701	168.038	165.472	164.667	159.667	167.656	169.521	168.076	167.115	163.997	162.628	158.872	168.646	160.865	161.462	163.014	166.194	165.462	161.340	159.747	157.899	165.146	163.736	163.056	165.292	166.868	158.319	152.993	163.372	164.326	166.417	165.722	170.948	166.281	165.885	161.715	157.833	163.062	166.771	165.389	164.757	162.514	159.983	156.087	167.632	159.021	157.413	155.903	162.993	160.406	158.194	153.743	150.559	159.941	155.656	155.587	157.941	153.441	150.503	149.181	160.299	154.472	156.708	155.601	159.028	156.424	153.639	151.222	149.507	157.375	155.927	158.792	157.198	159.573	156.628	153.118	157.417	174.267	173.812	176.351	174.181	180.997	178.691	168.830	172.042	173.747	176.705	168.892	166.351	169.368	169.156	166.656	167.160	169.747	169.264	169.542	165.806	172.385	172.938	168.059	165.347	171.535	171.010	166.920	167.118	165.889	169.809	168.090	171.115	168.656	169.073	170.344	172.115	172.538	176.573	166.115	163.792	175.892	171.170	168.899	168.267	172.587	166.330	165.701	170.816	165.014	166.865	164.462	168.253	167.799	171.677	160.201	166.708	167.170	169.340	164.892	158.483	162.924	162.458	158.799	168.094	162.285	162.538	159.260	160.167	164.149	166.441	162.188	156.514	165.167	164.167	159.080	156.826	159.594	160.049	159.490	164.253	157.424	157.681	157.500	153.517	161.545	159.382	152.701	152.444	156.733	158.250	157.021	157.941	161.045	162.747	158.490	162.931
6	173.125	171.878	171.955	173.639	173.316	174.417	168.062	167.028	171.806	170.156	165.729	167.253	164.007	161.983	158.167	168.705	166.913	167.865	169.465	170.899	169.292	165.115	164.184	162.851	167.878	168.170	169.358	169.514	165.608	163.986	164.024	169.295	162.941	164.087	161.358	168.774	168.819	163.615	161.632	155.615	167.878	166.028	161.812	165.594	167.958	157.920	157.080	163.639	165.413	168.986	168.573	173.285	168.344	166.455	163.649	156.389	166.392	167.986	167.253	167.264	164.823	161.972	157.174	171.024	162.462	155.181	159.976	164.326	163.545	159.219	154.323	152.347	161.271	159.691	154.812	157.479	156.188	150.587	151.351	161.986	155.938	155.125	155.125	160.913	159.042	155.097	154.368	152.694	158.003	159.413	156.938	159.847	162.368	158.524	153.889	159.267	176.701	174.583	179.222	175.788	182.740	181.184	169.854	174.253	177.337	179.708	169.983	167.101	171.517	169.826	166.913	170.205	169.830	170.024	171.118	164.997	173.132	175.483	168.778	165.052	176.844	172.889	167.229	166.698	164.983	172.090	169.622	170.819	170.851	170.632	173.635	171.778	175.049	176.924	168.573	166.802	176.049	170.767	168.795	167.906	172.889	167.913	166.667	171.399	165.938	167.080	166.399	168.448	169.837	170.792	164.538	167.983	168.812	170.861	165.184	157.663	164.205	159.712	160.649	168.681	164.997	164.115	163.385	161.465	165.812	168.247	162.024	158.056	165.146	164.941	161.649	156.740	161.948	157.920	157.740	164.420	159.969	159.042	156.608	155.153	161.844	159.660	153.674	155.066	158.087	160.250	161.288	157.507	160.944	165.535	159.597	163.299
7	169.830	171.292	171.663	171.764	172.087	172.569	167.021	161.938	169.517	168.212	161.594	165.701	163.972	156.615	154.823	166.764	165.521	166.712	168.111	169.969	166.944	164.354	163.691	158.760	165.201	167.514	169.372	167.715	164.514	161.674	159.823	167.691	161.587	160.281	158.736	166.552	166.823	161.344	159.104	154.191	167.312	164.118	160.590	163.372	165.438	157.903	151.438	160.694	164.469	165.378	166.604	170.583	166.576	163.858	160.451	155.049	163.743	164.285	161.285	162.740	161.149	156.111	154.622	164.878	158.497	154.236	151.958	163.667	159.024	158.115	152.788	150.323	157.642	157.583	151.139	156.094	150.038	148.642	145.507	159.014	154.566	152.514	151.684	161.969	154.493	150.538	148.767	147.990	155.396	157.681	154.951	158.076	160.785	155.431	150.340	156.028	176.535	172.427	177.458	174.247	178.038	176.719	168.170	172.514	175.750	177.326	167.938	163.753	167.438	165.743	166.837	168.431	166.649	167.247	167.903	163.986	172.465	173.302	163.983	164.917	175.764	170.743	164.042	163.358	161.913	169.545	166.045	168.247	169	167.774	168.198	170.431	170.295	176.472	165.712	164.184	171.951	171.451	165.625	165.944	171.983	165.774	163.858	169.830	162.872	164.260	164.993	165.333	167.594	167.878	160.538	165.861	167.997	170.663	163.361	154.903	158.101	158.139	156.441	165.128	162	161.653	158.392	156.045	163.292	166.781	158.108	152.066	163.059	163.094	156.837	153.267	154.545	152.608	154.781	164.080	156.361	156.052	153.188	150.889	158.944	157.583	149.372	151.181	157.142	154.670	157.736	156.038	157.017	160.122	159.132	161.934
8	168.615	168.219	169.823	172.431	171.135	172.927	169.351	164.500	171.583	168.385	162.847	166.590	162.753	157.181	155.306	166.288	165.684	167.365	166.271	172.927	168.153	165.483	162.139	158.267	168.076	167.365	167.767	167.128	162.993	160.646	160.427	168.715	160.521	159.885	159.608	166.667	163.903	163.573	157.420	153.368	167.181	164.139	160.552	163.875	164.955	156.562	151.031	162.733	164.403	164.660	164.851	169.990	164.913	164.927	160.118	156.069	163.712	167.597	163.656	165.031	163.368	160.378	153.826	168.076	160.507	155.226	153.701	161.472	159.083	157.778	152.590	148.240	157.719	156.646	152.410	155.535	152.861	148.344	146.490	160.510	153.812	153.708	153.156	160.007	157.045	153.243	152.812	148.434	156.545	157.448	155.156	158.101	159.799	154.840	149.410	155.899	176.934	174.111	177.056	173.406	181.931	177.868	168.274	172.292	177.003	176.781	168.215	165.160	167.653	166.875	164.778	168.580	168.306	167.580	166.590	162.545	172.247	174.660	165.729	164.806	174.462	173.844	164.976	163.615	161.726	166.399	168.170	170.319	167.965	167.757	166.931	170.556	170.337	177.097	167.747	164.639	174.045	171.413	165.090	166.469	171.115	164.670	163.903	169.181	163.764	165.865	163.271	162.493	166.066	169.892	159.118	164.885	167.288	170.771	160.323	154.365	161.503	157.535	158.292	164.066	161.542	162.333	159.885	158.590	164.285	169.122	158.455	152.837	164.524	161.823	155.323	151.194	156.795	154.514	153.264	164.347	155.128	156.913	154.594	150.750	158.250	159.090	148.219	155.243	155.226	157.056	157.299	154.233	156.247	161.674	158.090	162.819
9	170.458	169.729	172.753	171.806	172.701	172.497	164.295	165.997	170.031	168.361	163.507	163.677	163.503	157.382	155.812	166.840	166.538	166.993	170.809	169.441	165.858	165.677	162.215	157.646	167.597	166.920	166.684	166.781	165.493	159.882	160.681	168.056	160.476	161.031	160.601	164.431	164.469	160.986	159.462	154.722	166.160	164.983	160.229	165.323	163.972	154.076	150.910	161.118	162.948	164.372	165.677	170.497	166.354	166.434	158.951	155.497	163.448	164.438	163.972	165.472	162.066	157.434	157.219	165.608	159.354	152.826	153.552	161.250	160.250	158.611	151.389	146.288	159.038	155.236	152.424	156.865	153.941	147.830	147.691	159.767	155.562	152.639	153.365	157.538	156.208	152.681	151.840	146.667	155.941	158.479	155.521	159.722	159.712	156.170	150.524	158.597	176.642	170.580	177.701	175.097	177.767	176.493	167.135	172.910	177	176.444	167.382	162.059	165.882	164.438	165.444	166.427	166.931	167.958	166.372	161.573	169.917	171.986	163.080	163.247	172.562	168.559	163.056	162.976	162.833	165.660	167.562	169.372	169.812	169.420	164.326	168.733	171.340	177.111	167.115	164.323	173.049	169.938	165.889	165.764	169.069	162.483	161.566	169.774	163.993	163.844	164.240	164.767	166.562	166.851	160.108	165.601	167.139	168.889	161.361	154.302	158.240	156.632	155.951	165.549	160.806	162.976	159.191	157.965	164.868	166.174	159.681	153.622	165.608	163.503	158.233	151.493	155.257	154.500	155.729	162.955	157.260	157.837	154.042	149.288	159.271	155.708	147.003	152.528	156.413	157.309	157.139	155.389	155.104	160.097	158.944	161.896
10	170.413	171.705	171.861	171.767	170.812	172.035	165.688	166.517	171.049	169.837	162.132	164.125	160.170	155.365	155.628	166.281	163.677	167.215	168.535	171.274	165.958	164.865	164.056	158.809	164.997	169.205	166.733	167.403	163.090	159.312	161.601	168.042	160.955	159.458	159.670	166.552	165.802	162.931	157.122	152.194	164.080	166.413	160.521	163.906	164.410	153.365	150.726	163.198	162.510	165.302	166.750	170.608	166.969	164.115	161.444	153.090	162.771	166.990	161.747	166.139	160.587	156.868	155.837	166.517	158.271	153.684	154.424	161.785	161.760	158.573	149.201	147.191	156.444	154.944	152.795	155.646	150.469	144.222	145.243	160.167	153.507	153.104	153.597	160.333	158.743	153.021	148.208	146.830	156.326	157.628	157.583	158.382	159.264	156.361	150.181	158.837	175.017	172.681	175.684	172.240	178.712	178.681	165.455	173.260	177.816	176.545	167.601	162.729	167.163	164.191	164.444	166.872	167.226	168.299	167.788	161.615	172.896	173.069	161.003	163.153	174.028	171.351	164.392	160.222	159.892	166.562	165.594	168.625	167.767	166.677	168.090	168.090	169.948	177.771	164.917	164.312	170.847	169.931	164.583	164.861	169.285	163.410	161.750	170.226	164.840	162.844	163.719	164.059	165.997	167.684	157.358	164.604	167.299	170.253	159.451	152.260	158.132	156.253	157.035	166.319	159	158.444	159.396	158.191	163.840	167.326	157.691	154.424	166.010	162.288	157.049	150.628	153.990	152.993	152.597	163.472	154.892	157.601	154.191	149.094	157.403	155.337	146.399	153.681	155.049	159.233	154.167	154.736	156.486	160.132	156.441	162.045
