Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105	Mean106	Mean107	Mean108	Mean109	Mean110	Mean111	Mean112	Mean113	Mean114	Mean115	Mean116	Mean117	Mean118	Mean119	Mean120	Mean121	Mean122	Mean123	Mean124	Mean125	Mean126	Mean127	Mean128	Mean129	Mean130	Mean131	Mean132	Mean133	Mean134	Mean135	Mean136	Mean137	Mean138	Mean139	Mean140	Mean141	Mean142	Mean143	Mean144	Mean145	Mean146	Mean147	Mean148	Mean149	Mean150	Mean151	Mean152	Mean153	Mean154	Mean155	Mean156	Mean157	Mean158	Mean159	Mean160	Mean161	Mean162	Mean163	Mean164	Mean165	Mean166	Mean167	Mean168	Mean169	Mean170	Mean171	Mean172	Mean173	Mean174	Mean175	Mean176	Mean177	Mean178	Mean179	Mean180	Mean181	Mean182	Mean183	Mean184	Mean185	Mean186	Mean187	Mean188	Mean189	Mean190	Mean191	Mean192
166.396	166.917	169.958	168.163	167.625	168.674	161.042	161.354	165.017	166.715	168.174	166.135	164.049	162.865	158.736	163.160	165.837	167.201	168.562	172.875	166.486	164.566	166.649	157.896	168.167	170.469	170.934	168.729	166.556	165.288	160.601	165.142	164.486	164.062	164.538	167.076	167.316	161.660	157.750	157.684	165.153	168.788	166.222	164.219	162.333	159.795	155.337	159.983	162.469	163.677	165.191	173.167	166.576	165.712	161.219	156.069	165.361	163.670	165.559	167.927	164.233	160.097	155.417	165.889	156.788	158.823	158.288	162	165.958	160.740	155.142	149.271	157.274	161.479	155.257	157.503	153.556	153.906	153.316	155.299	154.983	155.444	156.681	158.920	159.028	151.389	148.976	145.545	155.927	157.934	153.715	158.264	158.819	154.118	147.181	154.594	175.750	165.889	169.569	178.229	180.667	177.122	171.306	166.903	174.670	172.049	168.872	170.122	170.181	169.340	166.448	166.688	169.854	167.628	170.549	170.073	172.337	173.858	172.792	164.455	171.622	169.931	167.726	173.465	171.924	169.990	167.184	170.538	171.913	168.545	169.243	173.931	174.458	173.271	165.181	167.635	175.965	172.715	170.917	169.920	168.601	169.087	164.594	168.688	166	165.767	167.747	166.733	169.753	169.493	169.760	164.594	167.045	164.941	166.833	167.198	165.066	166.611	165.274	168.774	162.771	162.163	160.819	164.632	166.358	168.167	162.309	158.747	164.062	162.198	160.639	160.240	160.069	158.299	163.212	162.073	157.215	158.646	157.990	158.656	161.059	162	156.528	156.521	159.274	153.205	156.208	161.771	161.628	159.073	154.125	164.809
169.684	163.941	169.677	169.274	169.080	166.677	160.389	161.677	168.882	166.521	165.396	163.615	164.083	161.990	155.972	161.469	165.684	165.660	169	170.587	168.323	165.840	162.590	156.101	165.965	168.521	168.726	168.580	165.622	164.083	158.451	164.823	163.010	161.743	164.757	167.382	166.476	159.604	158.559	157.972	164.309	167.035	165.052	164.646	160.267	157.285	154.080	156.451	162.576	162.885	168.153	168.771	165.590	164.726	159.622	153.760	162.851	163.469	162.663	165.115	164.361	161.014	154.222	164.542	154.309	155.399	156.826	160.705	163.361	159.802	154.003	149.816	155.903	161.226	153.014	157.726	154.872	154.403	151.715	157.243	153.410	154.410	157.490	159.323	159.385	152.323	148.608	147.500	156.184	157.601	150.858	154.941	155.941	154.917	148.677	152.649	174.417	165.667	170.135	178.615	176.865	175.851	171.913	167.174	172.955	171.142	168.125	168.628	168.903	170.330	166.542	165.587	169.597	166.920	170.312	171.122	172.594	173.833	171.469	165.472	170.319	168.431	168.875	170.552	170.521	170.580	165.872	169.285	170.458	167.316	167.035	171.931	171.694	172.691	165.990	165.715	173.830	172.639	168.795	168.233	169.708	165.906	164.253	165.288	166.309	163.597	167.694	166.858	170.403	168.170	167.785	163.302	167.559	165.413	165.292	166.910	163.517	165.260	164.177	167.566	163.007	161.701	161.142	159.594	164.396	165.938	162.569	158.347	161.556	161.972	158.795	158.872	159.226	157.691	163.194	160.774	158.507	156.608	159.045	159.066	159.663	159.358	159.215	155.396	158.344	153.490	153.448	161.358	161.569	159.201	155.444	163.420
168.569	166.076	167.698	168.156	168.059	167.597	160.476	159.017	166.087	169.330	167.528	163.785	163.236	159.104	154.562	163.010	165.809	164.451	168.448	171.708	166.688	165.358	164.483	155.729	165.889	168.816	168.347	168.517	167.167	165.250	160.799	164.646	161.281	162.878	164.326	166.486	167.014	160.510	159.080	158.524	164.722	166.740	165.865	163.170	160.389	156.420	153.299	158.316	162.729	163.760	166.514	170.559	165.566	162.667	159.069	154.198	166.177	164.819	163.833	166.656	163.691	161.174	155.667	165.003	155.024	155.431	156.271	159.747	164.021	159.299	152.701	149.188	157.229	159.844	153.094	156.201	148.767	153.219	151.708	155.535	151.729	154.545	156.406	158.573	157.111	151.056	146.847	144.778	155.861	154.653	151.757	155.653	157.309	153.944	146.097	154.448	176.694	164.587	169.545	176.944	176.896	175.247	170.872	166.413	172.302	169.944	165.976	168.722	168.444	168.962	164.944	166.615	167.837	169.226	168.646	170.566	170.802	172.358	171.316	163.208	170.896	168.510	169.410	172.434	169.618	171.288	165.590	168.580	170.316	167.212	166.132	171.101	173.292	171.934	166.556	165.667	174.736	172.781	166.330	169.396	167.035	167.670	162.858	166.309	164.764	165.115	164.292	167.125	169.674	168.656	168.708	162.010	165.625	164.875	164.802	167.021	164.566	166.816	164.510	168.767	160.087	160.028	159.528	161.896	165.726	166.521	162.816	158.240	160.858	159.816	158.236	158.750	160.312	159.375	162.323	159.764	156.049	158.062	158.576	160.455	159.684	157.354	160	154.858	156.983	153.920	153.455	158.132	160.736	160.472	154.733	160.997
170.955	166.292	170.566	168.118	167.726	168.632	160.875	159.562	167.712	169.149	167.681	167.594	164.951	163.483	156.670	164.583	166.705	168.969	170.278	173.927	169.757	164.323	166.819	156.552	165.865	170.229	169.865	168.753	169.274	165.448	162.132	166.972	162.562	162.056	164.573	166.583	168.128	160.542	159.705	157.319	164.677	167.003	165.590	164.479	161.861	156.688	154.795	159.361	162.674	162.201	165.889	170.816	168.312	163.299	159.854	153.962	167.392	166.549	166.469	167.806	164.760	159.302	155.278	166.188	157.326	158.163	158.375	163.312	163.924	159.736	154.729	148.493	157.292	161.191	154.323	157.128	153.191	153.288	153.042	158.243	153.861	155.448	155.694	161.934	157.878	155.451	151.965	147.552	155.788	158.875	152.354	156.080	159.170	153.705	151.681	154.469	175.938	165.951	170.507	178.260	177.278	178.142	171.958	166.312	173.406	172.212	166.715	167.382	171.219	169.920	165.924	168.500	168.469	168.684	171.913	170.601	172.590	173.608	172.816	164.771	171.990	170.858	170.410	171.691	171.472	173.587	169.691	172.792	171.087	167.337	167.503	173.587	173.622	172.500	167.292	165.573	174.958	173.712	169.167	170.319	170.500	169.667	164.344	169.007	167.840	166.753	166.635	167.188	169.410	168.365	172.688	166.226	167.854	166.368	166.420	167.576	165.691	167.226	165.434	170.240	164.215	161.840	163.378	163.604	164.674	167.361	161.892	157	163.556	161.760	160.691	159.698	159.997	161.635	163.056	162.753	157.226	159.635	159.479	159.399	164.191	163.924	157.965	156.462	157.038	155.233	154.413	161.385	161.778	160.500	154.778	165.688
169.642	167.257	169.858	170.344	169.962	168.010	162.264	159.868	167.601	168.552	166.010	165.681	165.267	161.816	154.736	164.410	165.701	167.684	168.990	171.767	166.590	164.844	164.524	158.128	168.642	169.688	170.142	170.566	165.781	165.743	160.781	164.549	161.569	161.594	162.031	167.469	167.236	160.549	157.858	155.569	166.177	168.795	164.455	163.295	160.785	154.288	155	160.073	161.861	161.299	165.948	169.281	166.972	165.260	162.955	154.306	165.066	166.090	166.142	166.576	165.483	160.955	155.601	165.465	154.806	159.069	157.281	160.802	165.163	160.278	154.021	148.056	157.569	160.906	155.399	156.229	151.035	153.132	152.774	157.851	153.667	153.118	154.049	160.885	157.809	151.944	151.285	148.910	157.802	156.507	152.781	156.899	159.069	152.851	150.295	153.576	176.132	164.319	169.073	178.097	179.809	176.542	171.059	166.969	171.465	173.403	168.236	168.566	166.726	168.427	164.486	167.747	170.083	169.354	170.476	171.319	173.615	172.729	172.465	166.240	173.076	171	170.990	174.003	170.410	169.757	168.056	170.583	168.562	168.517	167.576	172.663	172.788	173.552	168.149	165.611	175.590	174.271	171.872	169.031	168.431	168.965	164.087	167.201	166.948	166.698	166.701	167.427	168.333	169.997	170.580	165.917	167.583	166.812	166.476	166.358	165.660	166.184	167.243	167.969	162.639	162.177	161.899	162.490	166.729	168.795	162.531	157.653	162.785	163.628	159.608	160.267	161.684	159.278	163.097	161.271	156.149	157.795	159.417	160.219	161.535	161.684	159.653	155.951	158.983	153.312	154.840	160.576	162.705	157.431	157.045	162.056
168.618	166.917	169.347	167.486	168.712	167.899	159.455	160.517	164.736	169.288	163.705	162.542	161.003	159.524	154.976	161.774	161.479	162.694	168.309	171	166.441	163.413	163.205	157.399	167.462	168.191	169.976	170.219	168.816	162.997	160.799	165.288	160.944	161.545	162.302	164.288	166.490	159.226	157.104	155.420	163.497	166.861	161.910	161.556	159.580	155.455	150.594	157.681	162.521	162.479	165.594	172.708	166.125	163.972	160.771	154.170	164.049	164.774	162.267	166.556	164.837	160.010	154.337	163.965	153.181	155.674	156.361	159.413	163.236	159.882	153.073	147.163	155.115	158.590	152.378	155.215	148.899	151.826	150.392	156.941	152.562	151.899	152.990	158.677	159.399	152.833	149.153	146.163	156.663	155.021	150.573	155.035	156.604	150.184	148.847	153.601	173.597	166.042	169.438	176.396	178.670	176.740	172.122	166.451	171.128	172.674	166.483	167.056	165.854	166.941	164.601	167.024	166.618	167.028	171.455	171.483	169.896	172.042	170.837	163.212	170.073	167.941	169.542	170.521	171.378	170.646	169.212	170.524	171.250	167.660	167.420	171.306	173.188	172.160	165.573	166.111	174.774	172.358	170.083	170.240	166.882	165.247	161.660	166.167	165.295	166.003	166.510	166.604	169.920	169.726	168.444	162.993	166.073	165.590	162.976	167.399	163.295	165.576	165.031	167.431	160.938	161.625	160.146	161.365	164.552	165.483	161.035	157.580	162.438	160.583	158.510	155.469	157.580	158.017	162.281	158.149	157.542	157.021	156.097	157.455	160.243	157.854	157.292	153.212	158.403	153.944	152.993	159.135	159	155.344	153.656	164.566
166.653	164.979	170.514	167.247	168.309	166.090	159.986	159.351	165.910	167.247	161.135	162.174	161.757	159.080	155.083	162.597	161.861	166.448	166.722	169.885	165.920	162.222	161.851	156.201	166.205	167.674	169.427	168.601	169.139	163.212	158.528	163.062	160.406	160.566	161.712	164.399	166.549	160.535	157.826	153.938	165.344	167.858	161.812	162.139	158.229	151.951	151.358	156.118	160.628	161.663	165.097	168.823	169.514	164.021	160.479	153.323	165.660	164.132	163.399	167.340	162.889	160.125	152.858	163.448	153.271	154.111	155.830	160.583	161.934	157.948	152.521	146.944	155.649	158.642	151.191	154.677	149.472	151.281	152.340	155.323	150.622	151.566	154.906	159.580	156.771	151.424	149.882	144.885	155.094	154.972	151.566	153.479	157.465	150.083	147.069	153.087	174.191	168.010	170.045	176.510	177.712	177.062	169.642	165.576	170.847	170.681	166.830	166.226	166.108	166.056	161.976	164.101	167.573	168.844	168.219	169.635	172.278	172.726	171.135	164.094	170.906	169.903	169.688	171.378	170.378	169.396	166.361	171.003	168.198	168.337	167.997	170.934	172.792	173.531	165.521	166.913	175.503	173.323	167.444	167.344	167.028	163.639	161.035	165.688	165.302	165.833	167.354	166.069	168.715	169.590	168.889	162.257	167.424	164.639	165.302	166.062	162.590	165.472	164.417	166.323	161.267	160.170	159.330	162.149	164.816	165.701	159.562	156.576	160.660	161.469	158.521	154.851	156.073	156.021	161.115	159.392	156.854	157.997	155.701	157.399	160.052	160.569	158.292	150.486	156.302	151.146	153.847	159.507	159.576	157.587	154.792	162.528
167.962	165.253	167.764	167.851	167.622	167.462	162.969	160.639	166.497	169.618	164.788	160.653	163.344	158.688	152.812	165.097	160.715	163.823	166.622	172.431	167.635	164.642	162.733	156.736	167.028	168.882	168.906	171	166.924	162.708	160.170	163.253	160.733	158.226	159.788	163.021	166.628	159.410	158.441	154.413	164.767	168.663	160.431	162.264	158.722	154.951	152.076	156.465	161.073	160.069	164.458	170.882	167.497	162.146	159.951	152.931	165.833	163.806	163.955	166.809	163.045	159.021	153.903	164.240	151.049	156.406	155.733	159.142	167.035	159.490	152.503	147.191	155.868	157.281	152.014	153.729	149.247	149.587	151.688	155.361	150.594	150.938	153.840	160.205	156.642	152.198	146.781	145.639	156.451	154.906	151.333	157.535	158.188	151.649	148.038	153.660	176.174	164.823	167.299	176.896	177.462	176.399	171	165.632	172.115	171	168.076	166.219	167.389	164.028	161.708	167.507	168.330	169.323	167.135	171	172.917	172.913	170.993	163.396	171.003	170.510	170.455	173.431	171.118	170.917	165.417	167.566	168.646	166.517	166.726	171.500	172.149	172.274	165.188	165.674	173.976	173.194	169.007	168.115	165.587	164.122	160.747	166.948	164.458	165.108	164.948	165.080	170.278	167.931	169.115	162.521	168.191	165.535	163.899	164.851	163.733	166.628	165.177	167.757	157.851	161.580	159.733	161.003	165.972	165.694	159.684	155.649	159.840	160.153	158.441	155.882	156.715	154.816	159	158.288	154.635	156.549	157.625	159.115	160.719	158.101	154.976	152.108	156.538	152.181	153.052	160.222	161.312	155.361	153.556	160.934
167.469	165.361	170.778	167.170	168.281	167.319	159.396	160.132	163.743	168.309	162.149	161.396	161.260	158.052	152.955	162.361	160.465	165.628	165.222	169.604	165.483	162.500	161.861	156.417	166.792	168.587	167.976	169.035	168.240	164.420	160.424	162.958	161.542	158.632	159.861	164.462	166.976	159.792	157.705	156.667	164.153	166.292	160.646	160.323	158.125	151.087	149.858	156.222	159.677	159.684	161.035	170.663	168.698	162.535	159.854	149.222	163.712	164.757	162.434	166.990	162.715	157.312	153.628	163.903	151.205	154.615	153.997	160.483	163.253	158.253	152.056	147.698	157.750	160.385	152.299	154.240	149.236	149.538	151.542	156.840	153.698	151.892	152.948	158.340	156.115	150.622	147.438	143.694	155.608	153.479	151.753	154.264	156.486	150.486	147.924	149.951	175.493	165.958	166.962	175.833	178.035	176.660	170.726	166.156	169.951	171.472	165.837	164.753	166.104	164.111	162.955	166.299	166.087	166.597	168.014	169.601	169.201	172.649	171.108	163.458	169.819	170.747	170.493	170.941	169.090	169.684	167.889	168.257	169.969	166.646	167.399	171.017	172.955	171.590	164.590	164.490	174.170	172.674	168.990	169.111	164.674	161.632	161.799	166.962	163.465	165.472	167.521	165.215	167.344	167.174	166.399	162.764	165.542	164.399	163.844	164.628	162.917	164.948	163.611	167.778	158.188	161.899	160.743	162.688	166.205	166.958	161.708	158.247	162.847	161.392	156.663	154.955	157.424	154.837	159.417	158.688	155.316	156.688	158.747	156.944	158.830	159.174	156.760	153.941	158.122	152.646	153.760	156.451	158.972	155.549	154.611	162.222
166.622	165.042	167.663	168.028	167.549	168.135	158.455	159.903	164.941	170.056	161.486	161.424	161.510	156.819	152.417	161.462	162.535	161.740	167.667	168.681	167.285	162.340	163.649	156.021	165.431	167.896	167.260	170.889	166.771	163.788	160.194	162.594	162.007	158.219	159.858	163.458	166.490	158.976	157.795	154.931	162.694	166.615	159.802	161.181	156.333	152.969	151.451	156.573	159.688	160.972	162.799	170.677	166.764	163.278	159.472	152.153	165.271	164.729	162.594	167.049	161.222	157.771	153.556	163.889	150.688	152.497	154.451	161.181	163.069	159.490	153.365	148.444	155.899	160.017	152.587	154.438	148.674	148.670	149.646	156.524	152.344	152.972	153.809	159.729	156.934	153.128	148.830	146.576	154.861	155.771	151.455	155.684	156.562	151.507	147.983	151.910	172.552	163.233	165.434	176.622	178.135	176.674	168.868	166.229	172.031	172.229	163.538	164.181	164.354	162.847	162.587	165.372	166.306	167.944	166.503	169.955	172.302	172.837	170.010	163.885	171.115	168.823	168.014	170.927	168.448	168.694	169.938	167.108	167.347	166.854	169.851	170.698	170.333	172	166.062	164.816	176.236	173.819	167.191	168.913	164.733	161.403	162.531	167.740	165.010	164.351	164.153	166.156	169.972	167.948	168.097	161.618	166.788	165.517	162.212	164.462	162.865	162.646	165.611	166.535	159.493	159.726	160.819	161.062	164.642	166.747	159.806	156	160.545	161.639	156.642	155.212	155.747	152.753	161.639	159.590	154.878	156.080	156.448	158.194	160.670	160.160	154.441	153.681	155.083	152.326	153.847	157.976	158.389	157.785	152.497	161.497
