Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105	Mean106	Mean107	Mean108	Mean109	Mean110	Mean111	Mean112	Mean113	Mean114	Mean115	Mean116	Mean117	Mean118	Mean119	Mean120	Mean121	Mean122	Mean123	Mean124	Mean125	Mean126	Mean127	Mean128	Mean129	Mean130	Mean131	Mean132	Mean133	Mean134	Mean135	Mean136	Mean137	Mean138	Mean139	Mean140	Mean141	Mean142	Mean143	Mean144	Mean145	Mean146	Mean147	Mean148	Mean149	Mean150	Mean151	Mean152	Mean153	Mean154	Mean155	Mean156	Mean157	Mean158	Mean159	Mean160	Mean161	Mean162	Mean163	Mean164	Mean165	Mean166	Mean167	Mean168	Mean169	Mean170	Mean171	Mean172	Mean173	Mean174	Mean175	Mean176	Mean177	Mean178	Mean179	Mean180	Mean181	Mean182	Mean183	Mean184	Mean185	Mean186	Mean187	Mean188	Mean189	Mean190	Mean191	Mean192
163.007	163.986	163.635	167.427	165.545	165.247	157.417	160.986	162.368	166.135	163.410	161.042	160.389	159.344	154.705	162.778	160.562	166.017	162.274	161.208	162.972	161.351	154.076	153.288	162.771	161.212	160.264	163.788	154.962	154.948	151.819	160.080	165.347	159.934	161.024	160.118	165.792	161.868	151.722	152.743	162.340	165.740	167.299	163.882	157.365	157.844	152.392	156.174	158.274	159.802	161.226	159.038	159.760	159.712	153.972	149.941	161.451	158.316	160.747	160.128	155.080	150.882	149.580	160.045	154.601	161.483	155.885	157.594	161.455	155.792	147.316	147.962	155.601	158.740	153.028	152.944	146.337	146.948	146.444	157.521	153.052	151.226	150.462	149.438	150.979	149.038	142.740	145.448	154.913	151.281	150.278	147.510	149.594	142.802	144.146	146.708	174.625	166.309	174.872	178.201	172.722	170.944	170.795	167.111	168.434	169.569	169.889	167.323	170.038	166.299	164.653	165.872	168.281	169.868	165.219	168.944	169.531	172.108	166.128	161.896	171.358	169.295	169.594	171.156	166.781	167.431	165.628	166.986	167.622	165.823	168.587	170.149	170.500	170.795	163.354	165.184	168.903	171.007	166.556	171.205	166.667	165.865	159.938	164.944	163.882	162.854	162.819	165.146	169.892	166.955	166.924	161.590	167.226	163.698	163.299	162.358	160.868	162.441	158.927	165.372	161.170	160.351	162.090	156.566	167.351	165.076	159.038	158.983	162.399	165.031	159.556	156.601	158.170	158.215	160.076	162.392	157.420	155.260	155.802	158.806	159.167	157.365	152.132	151.882	154.490	152.799	152.903	153.281	156.948	154.549	151.924	158.222
163.816	165.101	164.771	166.944	167.722	167.257	155.826	161.486	164.556	165.576	164.517	162.913	162.285	159.521	154.604	165.809	162.222	166.528	165.806	161.205	163.132	163.681	153.253	151.292	166.757	162.010	164.858	165.198	155.861	155.684	151.052	161.878	166.153	161.243	162.549	163.042	168.233	162.191	152	153.392	163.181	166.799	165.712	164.611	157.066	157.708	155.653	159.653	160.965	159.128	162.656	161.632	162.059	160.264	154.035	149.753	164.785	161.958	162.281	160.344	154.688	151.590	147.285	162.174	155.865	160.733	155.330	157.014	161.792	154.358	147.823	147.503	156.851	158.986	151.681	151.913	149.788	147.733	146.868	156.646	152.427	151.368	151.097	149.767	153.628	149.444	142.677	145.465	154.490	152.021	146.656	146.163	151.920	143.306	146.389	148.153	174.628	166.069	174.420	176.701	174.764	172.309	168.424	166.281	171.087	169.156	168.160	167.205	171.361	167.806	165.642	167.771	170.576	169.653	167.309	169.479	170.708	173.149	166.378	165.052	173.556	169.302	167.767	170.628	169.441	167.493	165.660	167.684	168.448	168.882	167.250	168.319	172.837	170.757	164.521	165.698	169.295	171.247	171.753	170.625	167.420	166.524	162.205	166.920	166.076	165.229	163.743	165.188	172.569	167.722	169.410	161.444	169.010	165.514	162.590	163.375	160.771	163.830	161.097	166.035	162.608	162.167	160.812	159.931	167.667	165.639	160.309	158.194	162.469	164.719	159.823	160.069	158.163	160.757	161.719	161.438	158.014	158.507	157.295	161.062	160.069	159.552	154.837	152.892	157.181	155.958	156.549	155.535	158.378	155.819	151.882	158.101
161.979	163.361	165.691	166.372	165.292	169.326	156.594	163.031	163.840	166.875	166.135	160.649	160.132	157.799	154	163.979	161.247	164.104	162.524	161.417	163.295	161.111	153.635	152.236	165.833	165.667	162.892	164.514	157.191	154.448	153.910	162.785	166.111	159.976	160.878	160.462	166.382	160.997	152.368	150.722	165.660	166.545	165.090	162.177	156.361	157.028	155.146	157.486	159.028	158.188	158.767	161.031	161.997	161.497	154.465	148.549	162.597	162.229	161.330	159.531	153.628	151.083	147.781	161.448	154.677	161.253	157.212	155.250	159.656	154.691	146.715	148.712	158.715	158.990	152.983	149.660	146.927	147.712	145.073	156.542	152.177	149.503	151.142	149.851	151.865	149.125	143.274	143.427	152.389	150.736	146.976	145.691	149.753	141.326	147.438	145.444	176.316	164.979	175.705	176.615	175.826	172.774	170.698	167.514	168.007	170.455	167.757	168.236	170.885	167.007	166.222	165.274	168.691	167.851	168.969	168.899	171.715	172.771	165.885	161.733	172.045	169.194	167.781	170.740	168.378	167.076	162.417	167.778	165.198	167.812	166.910	167.010	170.198	172.069	163.812	164.427	169.208	172.934	172.743	167.896	166.118	165.573	164.438	164.385	162.802	165.552	163.819	163.726	169.899	168.986	167.312	161.826	166.656	164.823	162.944	163.108	161.712	161.733	159.146	164.660	159.271	161.431	159.809	157.372	166.646	164.101	159.979	158.938	162.688	165.524	161.271	154.774	157.684	156.750	160.135	163.663	156.194	157.229	159.267	157.806	159.410	158.910	152.253	153.903	157.094	153.969	153.785	154.660	155.583	155.503	151.042	160.972
161.160	161.549	164.917	166.299	164.795	165.208	156.097	158.941	163.490	165.333	164.910	160.441	156.469	157.215	153.917	162.542	161.111	165.455	164.135	160.521	162.878	163.434	152.302	151.042	162.906	161.590	162.979	162.083	153.806	156.274	152.167	160.462	166.194	161.622	161.382	158.622	166.840	162.903	150.392	151.333	166.042	165.722	165.840	161.757	155.017	156.448	150.972	154.083	160.146	157.767	160.688	158.608	160.486	160.611	154.066	149.840	161.139	160.028	160.719	159.448	151.743	146.681	145.899	158.212	154.403	161.281	156.188	154.976	160.344	152.611	145.014	147.069	157.816	159.510	152.323	149.743	147.111	145.479	144.924	156.285	149.993	151.441	150.663	150.229	152.681	148.760	141.597	143.958	154.684	148.833	146.615	141.705	151.576	140.736	146.444	148.830	174.747	165.872	174.125	176.823	174.045	171.997	170.007	166.076	168.375	170.299	165.788	168.354	169.778	167.983	164.910	164.135	168.972	169.736	166.573	168.448	169.493	170.017	167.931	161.757	168.906	169.031	166.660	169.562	166.128	166.743	164.483	165.861	165.753	167.174	167.444	168.604	173.215	170.528	162.462	163.094	165.979	170.889	168.299	169.042	164.878	165.153	160.802	165.684	163.483	162.257	162.656	165.160	170.184	167.469	165.410	161.701	167.892	163.740	162.663	162.451	158.556	162.135	158.840	163.590	159.319	161.257	161.590	157.368	165.552	165.424	159.701	158.059	157.986	165.719	159.361	157.809	157.531	157.906	159.674	159.212	154.757	157.962	157.649	157.462	160.493	158.257	150.785	153.059	154.135	153.170	154.056	152.118	156.122	152.538	149.965	158.389
164.958	161.910	165	166.222	166.267	166.153	156.917	160.149	165.576	166.378	164.229	161.208	157.153	156.705	153.976	163.562	160.993	165.896	164.757	162.441	162.278	162.490	153.493	151.278	165.729	164.438	162.278	165.007	156.243	152.552	151.233	161.514	167.396	161.684	161.056	158.531	167.215	161.535	150.649	151.872	162.493	167.549	166.667	164.035	154.944	155.726	153.698	156.639	161.247	159.698	160	156.757	161.583	159.844	152.812	149.028	162.750	161.101	159.424	159.719	154.278	147.771	147.944	161.170	154.406	160.458	158.038	155.615	159.410	156.868	146.094	147.090	158.767	160.507	153.594	148.486	147.646	145.340	147.017	157.785	152.698	150.958	148.958	147.750	151.986	148.812	141.073	143.920	155.618	150.757	147.719	143.938	149.566	139.802	146.753	147.646	175.035	167.552	175.788	177.569	173.701	171.938	168.854	167.281	169.931	172.108	166.472	165.990	170.701	168.590	166.569	165.653	168.236	170.236	167.312	170.243	170.646	171.368	167.465	162.510	170.521	169.198	169.483	171.524	167.715	165.878	163.080	168.215	165.632	169.344	168.465	167.326	172.003	171.306	162.719	167.035	170.983	172.580	171.010	168.694	165.733	167.212	162.896	164.896	162.080	165.625	164.896	163.608	170.938	168.691	164.910	159.677	167.646	164.372	164.146	163.646	160.670	159.819	158.330	162.479	159.608	161.792	161.021	157.632	168.601	164.483	159.167	157.267	164.319	164.337	160.729	156.014	157.417	157.323	160.715	161.670	155.028	158.858	156.510	157.691	159.816	160.438	150.941	153.059	156.788	154.753	155.174	154.705	157.632	155	149.594	158.354
165.326	165.160	165.681	165.743	166.788	167.309	157.285	161.347	163.510	168.118	165.125	158.847	158.125	156.073	153.799	163.531	163.042	166.851	163.927	159.097	163.319	162.031	152.323	150.562	165.913	165.743	158.844	164.969	153.472	153.066	151.188	161.222	166.066	158.750	162.208	156.722	167.396	160.188	148.535	152.028	164.799	165.281	164.583	161.854	154.892	152.444	151.021	156.122	160.361	159.007	160.708	157.285	162.312	161.014	152.875	148.156	162.486	161.285	161.344	157.750	150.722	145.684	146.434	162.635	153.142	157.681	154.705	155.819	161.170	155.264	144.486	149.344	159.417	159.007	150.351	150.201	144.872	143.854	143.167	156.639	150.368	149.899	150.976	147.378	153.028	148.559	144.351	145.125	153.372	149.219	146.715	143.507	149.316	138.288	143.337	147.479	175.264	165.681	173.035	175.872	175.049	171.368	168.351	165.694	168.611	170.135	168.851	168.340	171.431	166.993	163.361	165.056	166.247	171.406	164.670	171.642	170.483	173.760	168.351	162.622	170.170	169.365	169.993	171.462	165.635	163.271	161.667	167.198	166.722	169.306	168.392	164.646	172.601	171.097	164.368	166.660	167.073	171.267	169.476	168.250	165.139	164.538	161.625	166.163	162.462	162.562	162.840	162.417	172.993	167.938	167.007	162.125	166.104	164.677	163.417	161.851	157.865	161.628	156.510	166.205	160.455	159.736	161.382	158.076	168.365	165.045	158.632	154.802	161.906	166.701	158.413	156.823	155.181	157.101	161.052	162.583	153.028	155.729	155.510	159.062	159.493	160.066	151.243	153.177	158.427	152.312	154.253	152.111	154.611	152.792	150.372	158.847
162.076	161.382	162.927	164.108	163.875	166.243	153.219	159.944	162.861	166.382	161.167	157.292	153.604	152.469	152.170	163.861	158.576	162.830	161.191	154.510	160.882	158.038	146.368	148.410	161.069	162.007	157.240	161.424	149.667	149.924	145.736	159.729	165.399	157.132	156.059	155.757	163.493	158.042	144.854	148.441	163.274	162.753	160.983	160.875	149.892	149.969	151.549	158.177	157.458	155.240	159.240	156.174	159.163	157.628	148.837	147.104	163.260	159.097	158.434	154.670	147.979	142.833	145.080	159.719	151.601	158.938	150.302	152.635	158.896	151.764	142.177	145.167	155.531	156.750	149.552	146.042	141.781	142.965	141.118	156.326	148.507	148.076	148.194	144.424	148.688	147.920	140.382	142.851	151.111	146.722	144.024	139.510	145.517	136.674	144.799	148.219	173.688	166.080	174.132	177.670	172.014	171.722	168.455	164.674	166.924	169.590	164.507	164.347	168.476	163.083	160.653	162.472	165.174	166.851	162.410	166.035	167.962	171.344	166.174	160.819	168.076	166.427	167.899	170.385	160.344	160.698	162.715	166.021	166.556	168.424	165.701	165.892	172.639	168.684	161.826	164.458	166.802	170.274	166.781	166.434	161.802	162.701	159.344	164.493	161.892	163.868	165.226	163	171.503	166.733	164.201	157.472	163.351	163.069	159.087	158.559	155.503	158.826	154.372	161.944	157.698	160.260	158.559	153.896	166.753	161.885	154.653	156.191	160.528	163.122	157.542	153.233	152.243	156.097	158.069	161.764	153.035	154.170	155.503	158.024	157.903	157.358	151	150.378	156.024	150.639	150.104	149.017	152.382	150.330	146.681	157.569
160.719	160.726	159.198	164.427	162.615	165.993	151.448	159.920	161.646	163.062	162.007	153.750	153.677	149.424	148.774	160.878	158.740	163.719	160.844	154.493	160.795	159.924	149.448	146.826	161.740	162.177	154.872	161.781	150.205	147.292	146.753	159.701	164.653	156.097	156.278	154.965	163.993	158.587	143.990	149.653	162.524	162.753	162.135	157.299	149.642	148.938	149.889	155.778	157.785	156.785	156.920	154.059	159.267	158.812	148.809	145.778	159.486	159.733	156.295	152.781	146.590	143.684	143.559	158.965	151.076	158.361	152.844	152.156	156.378	151.927	143.010	144.785	155.142	155.344	147.656	145.698	141.278	141.549	144.059	153.528	148.326	146.219	148.181	144.802	149.125	147.503	139.792	142.944	154.351	147.590	144.559	139.760	146.913	133.792	141.976	146.483	171.906	164.472	171.212	174.378	172.535	169.330	166.663	163.934	165.809	168.896	165.257	165.701	168.785	163.677	161.719	164.326	166.809	168.764	164.962	167.083	168.694	170.931	165.260	159.858	166.271	166.771	167.934	167.764	162.205	162.188	161.774	166.962	165.285	164.847	166.007	163.663	172.208	168.427	159.528	163	165.677	171.462	168.559	165.972	162.635	160.708	156.559	164.632	159.965	161.642	160.510	159.455	171.212	166.122	165.007	157.684	164.677	162.694	159.083	158.917	156.729	156.781	154.021	164.365	154.976	156.865	159.497	155.312	166.472	160.219	153.830	153.986	158.267	164.896	155.531	150.205	152.535	152.962	157.729	159.927	151.351	154.785	154.448	157.177	157.785	157.726	148.493	151.361	153.260	149.243	149.087	147.472	151.201	150.684	146.490	157.993
161.132	160.392	158.934	163.014	164.003	167.215	151.865	157.962	161.490	164.365	158.038	157.031	152.358	150.851	150.451	162.243	157.840	165.597	159.365	156.406	159.500	160.024	149.385	147.201	162.378	160.990	158.049	163.007	149.031	148.542	148.385	159.806	165.431	155.097	154.816	153.042	165.882	159.003	145.083	149.983	164.538	164.323	161.031	159.941	151.236	149.003	149.191	156.392	156.962	152.486	155.090	155.542	158.948	161.368	150.663	145.139	162.372	160.785	156.066	153.014	146.639	144.503	143.799	159.267	151.472	158.191	151.726	151.069	157.958	151.056	143.858	145.521	155.913	157.007	148.385	146.108	143.017	142.056	141.201	155.420	147.997	144.646	148.427	144.177	149.993	146.736	140.448	140.576	153.205	146.337	143.851	137.010	145.257	133.066	143.069	148.198	173.622	165.674	174.455	176.146	172.753	171.472	168.851	163.441	168.760	168.319	163.625	164.573	167.031	162.726	160.476	167.497	168.003	168.840	163.253	167.083	170.688	170.601	165.108	158.750	168.472	169.028	164.944	168.837	161.264	160.549	159.153	164.826	163.465	165.385	165.319	164.924	171.458	169.948	158.333	167.812	168.007	173.299	166.115	166.837	162.785	161.181	158.257	165.524	160.552	161.785	160.823	160.312	171.108	168.292	166.059	158.049	163.448	164.920	158.243	157.444	156.365	155.795	154.934	164.177	157.122	157.771	159.976	154.667	165.764	162.472	156.479	156.354	158.316	164.056	156.698	154.667	151.778	153.385	157.892	160.101	151.097	152.920	151	157.809	159.646	157.785	147.649	150.611	154.885	151.392	150.951	148.667	152.497	148.799	147.167	159.139
161.236	158.368	159.854	162.191	164.007	166.083	151.448	159.427	162.361	161.170	159.743	153.278	150.917	152.024	149.576	163.080	156.931	161.910	157.191	154.003	160.059	158.354	146.976	146.649	163.226	161.219	156.757	161.785	147.240	148.833	146.576	161.840	164.194	154.844	156.118	151.163	165.115	159.205	144.156	149.434	162.990	163.076	158.767	156.132	148.226	149.253	146.983	157.250	155.302	153.684	155.667	153.222	156.247	156.806	150.750	147.264	162.972	158.837	154.149	152.872	147.997	143.889	143.406	157.712	149.972	156.948	150.931	150.500	159.111	150.375	140.628	145.628	156.215	154.958	146.639	144.424	142.128	139.708	139.188	154.191	149.292	146.188	145.385	146.469	148.378	144.986	138.719	141.587	150.517	145.510	141.292	138.420	142.281	134.378	140.903	145.427	173.111	166.031	173.608	173.104	172.795	170.465	165.385	162.153	165.677	168.451	162.184	165.694	164.597	160.799	158.799	165.250	164.976	166.479	162.469	165.559	169.844	171.469	161.670	159.990	166.733	168.375	164.653	168.448	160.535	162.035	157.955	165.715	160.764	165.573	165.455	164.042	173.566	168.299	158.340	164.524	164.441	170.514	168.469	163.722	160.889	160.479	155.913	163.208	160.837	160.479	159.490	161.250	170.625	166.385	164.264	156.267	162.247	164.028	159.715	156.927	153.851	155.083	154.229	162.580	153.719	157.066	157.441	153.326	168.028	161.618	154.125	152.236	158.007	164.719	154.608	151.267	152.799	150.635	156.559	160.163	150.219	152.944	151.135	158.583	158.219	157.160	146.472	150.156	152.778	149.986	149.045	146.354	150.760	145.747	145.194	158.111
